WORK_ID,MP_NAME,CONSTITUENCY_NAME,WORK_CATEGORY,ACTIVITY_NAME,HYBRID_RISK_SCORE,FINAL_RISK_LEVEL,DETECTOR_AGREEMENT,DETECTOR_AGREEMENT_COUNT,INVESTIGATION_PRIORITY,RULE_SCORE,STATISTICAL_SCORE,ISOLATION_FOREST_SCORE,RECOMMENDED_AMOUNT,SANCTION_AMOUNT,ACTUAL_AMOUNT,DISBURSED_AMOUNT,COST_VS_PEER_MEDIAN,PEER_Z_SCORE,TRANSACTION_COUNT,VENDOR_COUNT,MAX_TRANSACTION_AMOUNT,RECOMMENDATION_DATE,SANCTION_DATE,COMPLETION_DATE,DAYS_RECOMMENDATION_TO_SANCTION,DAYS_SANCTION_TO_COMPLETION,SUMMARY,INVESTIGATION_GUIDANCE,DISCLAIMER,FINANCIAL_EVIDENCE,STATISTICAL_EVIDENCE,TRANSACTION_EVIDENCE,TIMELINE_EVIDENCE
272520,VAMSI KRISHNA GADDAM,Unknown,Normal/Others,NA-Construction of community centers and community halls,45.88,MEDIUM,STRONG,3,3,28.0,40.0,73.59,5000000.0,5000000.0,,,10.0,,0,0,0.0,2026-03-21,,,,,The work shows sanctioned cost is 10.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 10.0}]",[],[],[]
291659,Kishan Reddy Gangapuram,Unknown,Normal/Others,NA-Construction of buildings for crèches and anganwadies,44.94,MEDIUM,STRONG,3,3,28.0,40.0,70.45,3000000.0,3000000.0,,,12.0,,0,0,0.0,2026-07-03,,,,,The work shows sanctioned cost is 12.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 12.0}]",[],[],[]
232940,Kishan Reddy Gangapuram,Unknown,Normal/Others,WS/MP765/2025-2026/232940-Construction of community centers and community halls,44.28,MEDIUM,STRONG,3,3,28.0,40.0,68.27,3000000.0,3000000.0,,,12.0,,0,0,0.0,2025-09-11,2026-02-09,,,,The work shows sanctioned cost is 12.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 12.0}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-09-11"", ""sanction_date"": ""2026-02-09"", ""days"": null}]"
232943,Kishan Reddy Gangapuram,Unknown,Normal/Others,WS/MP765/2025-2026/232943-Construction of public toilets and bathrooms,44.28,MEDIUM,STRONG,3,3,28.0,40.0,68.27,3000000.0,3000000.0,,,12.0,,0,0,0.0,2025-09-11,2026-02-09,,,,The work shows sanctioned cost is 12.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 12.0}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-09-11"", ""sanction_date"": ""2026-02-09"", ""days"": null}]"
290983,KUNDURU RAGHUVEER,Unknown,Normal/Others,WS/MP18386/2026-2027/290983-Construction of buildings for community cultural activities,44.28,MEDIUM,STRONG,3,3,28.0,40.0,68.27,3000000.0,3000000.0,,,12.0,,0,0,0.0,2026-07-01,2026-07-09,,,,The work shows sanctioned cost is 12.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 12.0}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2026-07-01"", ""sanction_date"": ""2026-07-09"", ""days"": null}]"
181196,Sanjay Kumar Bandi,Unknown,Normal/Others,WS/MP770/2025-2026/181196-Construction of community centers and community halls,44.26,MEDIUM,STRONG,3,3,25.0,30.0,83.35,2000000.0,2000000.0,1974629.0,,8.0,,1,1,1974629.0,2025-03-12,2026-01-23,,,,The work shows sanctioned cost is 8.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 5x the peer-group median"", ""ratio"": 8.0}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-03-12"", ""sanction_date"": ""2026-01-23"", ""days"": null}]"
208454,EATALA RAJENDER,Unknown,Normal/Others,NA-Construction of New Building,44.08,MEDIUM,STRONG,3,3,28.0,40.0,67.59,2500000.0,2500000.0,,,10.0,,0,0,0.0,2025-06-13,,,,,The work shows sanctioned cost is 10.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 10.0}]",[],[],[]
232920,Kishan Reddy Gangapuram,Unknown,Normal/Others,WS/MP765/2025-2026/232920-Construction of community centers and community halls,43.84,MEDIUM,STRONG,3,3,28.0,40.0,66.8,2680000.0,2680000.0,,,10.72,,0,0,0.0,2025-09-11,2026-02-09,,,,The work shows sanctioned cost is 10.72x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 10.72}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-09-11"", ""sanction_date"": ""2026-02-09"", ""days"": null}]"
181070,Sanjay Kumar Bandi,Unknown,Normal/Others,"WS/MP770/2025-2026/181070-Purchase of IT systems, including hardware and software for educational purposes",43.7,MEDIUM,STRONG,3,3,25.0,30.0,81.49,1500000.0,1500000.0,1304726.0,,6.0,,1,1,1304726.0,2025-03-11,2026-01-23,,,,The work shows sanctioned cost is 6.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 5x the peer-group median"", ""ratio"": 6.0}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-03-11"", ""sanction_date"": ""2026-01-23"", ""days"": null}]"
198708,EATALA RAJENDER,Unknown,Normal/Others,WS/MP18193/2025-2026/198708-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,43.48,MEDIUM,STRONG,3,3,28.0,40.0,65.59,2500000.0,2500000.0,,,10.0,,0,0,0.0,2025-05-12,2026-01-16,,,,The work shows sanctioned cost is 10.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 10.0}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-05-12"", ""sanction_date"": ""2026-01-16"", ""days"": null}]"
