WORK_RECOMMENDATION_DTL_ID,RULE_SCORE,STATISTICAL_SCORE,ISOLATION_FOREST_SCORE,RULE_CONTRIBUTION,STATISTICAL_CONTRIBUTION,ML_CONTRIBUTION,HYBRID_RISK_SCORE,DETECTOR_AGREEMENT_COUNT,DETECTOR_AGREEMENT,FINAL_RISK_LEVEL,INVESTIGATION_PRIORITY,EVIDENCE_SUMMARY,RULE_RISK_LEVEL,RULE_ANOMALY_FLAG,RULE_REASON_CODES,RULE_REASONS,DATA_QUALITY_SCORE,STATISTICAL_RISK_LEVEL,STATISTICAL_ANOMALY_FLAG,STATISTICAL_REASON_CODES,STATISTICAL_REASONS,STATISTICAL_CONFIDENCE,ISOLATION_FOREST_RISK_LEVEL,ISOLATION_FOREST_ANOMALY_FLAG,ISOLATION_FOREST_REASON
272520,28.0,40.0,73.59,9.799999999999999,14.0,22.077,45.88,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,1.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,HIGH,True,Isolation Forest identified the work as unusually different from typical works
291659,28.0,40.0,70.45,9.799999999999999,14.0,21.135,44.94,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,1.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,HIGH,True,Isolation Forest identified the work as unusually different from typical works
232940,28.0,40.0,68.27,9.799999999999999,14.0,20.480999999999998,44.28,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,HIGH,True,Isolation Forest identified the work as unusually different from typical works
232943,28.0,40.0,68.27,9.799999999999999,14.0,20.480999999999998,44.28,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,HIGH,True,Isolation Forest identified the work as unusually different from typical works
290983,28.0,40.0,68.27,9.799999999999999,14.0,20.480999999999998,44.28,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,HIGH,True,Isolation Forest identified the work as unusually different from typical works
181196,25.0,30.0,83.35,8.75,10.5,25.005,44.26,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | STATISTICAL: Sanctioned cost is at least 5x the peer-group median | ML: Isolation Forest identified the work as highly unusual compared with the overall feature distribution | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded,0.0,MEDIUM,True,PEER_RATIO_EXTREME,Sanctioned cost is at least 5x the peer-group median,HIGH,CRITICAL,True,Isolation Forest identified the work as highly unusual compared with the overall feature distribution
208454,28.0,40.0,67.59,9.799999999999999,14.0,20.277,44.08,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,1.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,HIGH,True,Isolation Forest identified the work as unusually different from typical works
232920,28.0,40.0,66.8,9.799999999999999,14.0,20.04,43.84,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,HIGH,True,Isolation Forest identified the work as unusually different from typical works
181070,25.0,30.0,81.49,8.75,10.5,24.447,43.7,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | STATISTICAL: Sanctioned cost is at least 5x the peer-group median | ML: Isolation Forest identified the work as highly unusual compared with the overall feature distribution | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded,0.0,MEDIUM,True,PEER_RATIO_EXTREME,Sanctioned cost is at least 5x the peer-group median,HIGH,CRITICAL,True,Isolation Forest identified the work as highly unusual compared with the overall feature distribution
198708,28.0,40.0,65.59,9.799999999999999,14.0,19.677,43.48,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,HIGH,True,Isolation Forest identified the work as unusually different from typical works
