STATE_NAME,TOTAL_WORKS,ML_ANOMALIES,ML_ANOMALY_RATE_PERCENT,FEATURE,ANOMALY_MEDIAN,NORMAL_MEDIAN,NORMAL_STD,STANDARDIZED_DIFFERENCE,ABS_STANDARDIZED_DIFFERENCE
Arunachal Pradesh,303,7,2.31023102310231,PAYMENT_SUCCESS_RATIO,1.0,1.0,0.0652328073053442,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,PAYMENT_IN_PROGRESS_RATIO,0.0,0.0,0.0652328073053442,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,IS_COMPLETED,1.0,1.0,0.43758383791957944,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,HAS_ACTUAL_AMOUNT,1.0,1.0,0.43758383791957944,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,ACTUAL_MINUS_SANCTION,0.0,0.0,2244.3989700584657,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,MP_WORK_COUNT,172.0,172.0,20.346355054272077,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,CONSTITUENCY_WORK_COUNT,172.0,172.0,20.346355054272077,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,STATE_AVG_WORK_COST,765846.2323232323,765846.2323232323,1.1661246899919998e-10,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,MP_TOTAL_RECOMMENDED,134193323.0,134193323.0,19815521.13216893,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,MP_TOTAL_SANCTIONED,133193323.0,133193323.0,19319268.56986961,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,MP_TOTAL_DISBURSED,98534470.0,98534470.0,4268493.5869997265,0.0,0.0
Arunachal Pradesh,303,7,2.31023102310231,MP_AVG_SANCTION_AMOUNT,802369.4156626506,802369.4156626506,41091.92995960074,0.0,0.0
