WORK_ID,STATE_NAME,CONSTITUENCY,MP_NAME,WORK_CATEGORY,ACTIVITY_NAME,SANCTION_AMOUNT,ACTUAL_AMOUNT,TOTAL_FUND_DISBURSED_AMT,PAYMENT_COUNT,UNIQUE_VENDOR_COUNT,PEER_COUNT,PEER_MEDIAN_SANCTION,SANCTION_TO_PEER_MEDIAN,SANCTION_PEER_Z_SCORE,DATA_COMPLETENESS_RATIO,IF_RAW_SCORE,IF_DECISION_SCORE,ML_PERCENTILE,ML_ANOMALY_STRENGTH,ML_SEVERITY,RULE_AGREEMENT,STATISTICAL_AGREEMENT,DETECTOR_AGREEMENT_COUNT
195396,Punjab,BHATINDA,Smt Harsimrat Kaur Badal,Normal/Others,WS/MP716/2025-2026/195396-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,500000.0,,499607.0,6.0,4.0,1,500000.0,1.0,,0.8181818181818181,-0.6611705598860566,-0.1293924526264808,99.92728455657932,0.6611705598860566,HIGH,True,False,2
203736,Rajasthan,BHILWARA,DAMODAR AGARWAL,Normal/Others,WS/MP18162/2025-2026/203736-Construction of community centers and community halls,500000.0,,499246.0,10.0,10.0,1,500000.0,1.0,,0.8181818181818181,-0.6609515086564823,-0.1291734013969065,99.92632777442904,0.6609515086564823,HIGH,True,True,3
149558,Rajasthan,AJMER,Bhagirath Chaudhary,Normal/Others,WS/MP719/2024-2025/149558-Construction of rooms and halls in school and colleges,499583.0,499583.0,499583.0,21.0,21.0,1,499583.0,1.0,,0.9090909090909092,-0.6608157479592984,-0.1290376406997226,99.92537099227876,0.6608157479592984,HIGH,True,True,3
273406,Odisha,SAMBALPUR,DHARMENDRA PRADHAN,Normal/Others,WS/MP18150/2025-2026/273406-Construction of community centers and community halls,1000000.0,,412327.0,5.0,5.0,1,1000000.0,1.0,,0.8181818181818181,-0.6607502706608828,-0.128972163401307,99.9244142101285,0.6607502706608828,HIGH,True,False,2
163635,Rajasthan,BHILWARA,DAMODAR AGARWAL,Normal/Others,WS/MP18162/2024-2025/163635-Construction of community centers and community halls,500000.0,500000.0,500000.0,14.0,13.0,1,500000.0,1.0,,1.0,-0.6603669498090743,-0.1285888425494985,99.92345742797822,0.6603669498090743,HIGH,True,True,3
191749,Rajasthan,CHURU,Rahul Kaswan,Normal/Others,WS/MP728/2025-2026/191749-Construction of additional rooms and halls in the existing public and community building,699547.0,624003.0,624003.0,14.0,11.0,1,699547.0,1.0,,0.9090909090909092,-0.6600158841569292,-0.1282377768973535,99.92250064582797,0.6600158841569292,HIGH,True,True,3
217810,Kerala,MAVELIKKARA(SC),Shri Suresh Kodikunnil,Normal/Others,WS/MP347/2025-2026/217810-Street lights,2500000.0,225139.0,225139.0,1.0,1.0,1,2500000.0,1.0,,0.9090909090909092,-0.6593218172270202,-0.1275437099674444,99.92154386367768,0.6593218172270202,HIGH,False,False,1
213615,Punjab,JALANDHAR(SC),CHARANJIT SINGH CHANNI,Normal/Others,WS/MP18156/2025-2026/213615-Construction of community centers and community halls,500000.0,,169250.0,5.0,4.0,1,500000.0,1.0,,0.8181818181818181,-0.6590618735494344,-0.1272837662898586,99.92058708152742,0.6590618735494344,HIGH,True,True,3
204508,Tamil Nadu,PERAMBALUR,ARUN NEHRU,Normal/Others,WS/MP18180/2025-2026/204508-Construction of rooms and halls in school and colleges,4881560.0,4881560.0,4881560.0,2.0,2.0,1,4881560.0,1.0,,1.0,-0.6590354332284951,-0.1272573259689193,99.91963029937712,0.6590354332284951,HIGH,False,False,1
201982,Andhra Pradesh,KAKINADA,TANGELLA UDAY SRINIVAS,Normal/Others,WS/MP18010/2025-2026/201982-Providing drains and gutters for public drainage,1700000.0,1420283.0,1420283.0,1.0,1.0,1,1700000.0,1.0,,1.0,-0.6585651160330839,-0.1267870087735081,99.91867351722686,0.6585651160330839,HIGH,False,False,1
