FEATURE,ANOMALY_COUNT,NORMAL_COUNT,ANOMALY_MEDIAN,NORMAL_MEDIAN,MEDIAN_RATIO,MEDIAN_DIFFERENCE_PERCENT,ANOMALY_MEAN,NORMAL_MEAN,ANOMALY_P95,NORMAL_P95,ANOMALY_P99,NORMAL_P99,NORMAL_STD,STANDARDIZED_DIFFERENCE,ABS_STANDARDIZED_DIFFERENCE
MP_MEDIAN_SANCTION_AMOUNT,2613,101904,400000.0,300000.0,1.3333333333333333,33.33333333333333,634988.7730960582,413073.18239853194,1900000.0,1000000.0,3179900.0,1815000.0,353455.9902561441,0.28292065421647417,0.28292065421647417
STATE_WORK_COUNT,2613,101904,4415.0,5741.0,0.7690297857516112,-23.09702142483888,5801.76769996173,6995.886049615324,16859.0,16859.0,16859.0,16859.0,4706.197014393938,-0.2817561602169266,0.2817561602169266
PEER_MEAN_SANCTION,2613,101835,550000.0,374802.390438247,1.4674399471062574,46.743994710625735,1620833.8794871795,517980.0771711223,6000000.0,1455879.5294117648,13358617.600000022,2500000.0,660542.4184200846,0.26523294292105964,0.26523294292105964
MP_TOTAL_SANCTIONED,2613,101904,109636318.0,116994317.0,0.9371080648301917,-6.289193516980829,113353070.42948335,118789320.56349151,146922088.0,173418823.0,238216983.0,244569278.0,33480505.266080163,-0.2197696522655096,0.2197696522655096
CONSTITUENCY_TOTAL_SANCTIONED,2613,101904,109636318.0,116994317.0,0.9371080648301917,-6.289193516980829,113353070.42948335,118789320.56349151,146922088.0,173418823.0,238216983.0,244569278.0,33480505.266080163,-0.2197696522655096,0.2197696522655096
MP_TOTAL_RECOMMENDED,2613,101904,110368188.0,117018098.0,0.9431719527692204,-5.682804723077964,113776659.1149024,119039209.37551066,147000000.0,173418823.0,238216983.0,244569278.0,33508159.534202173,-0.19845643844486172,0.19845643844486172
AVERAGE_PAYMENT_AMOUNT,2574,52410,159899.5,250000.0,0.639598,-36.0402,722353.4640501674,389618.49569937,2996877.7499999995,1091974.1999999986,6825379.999999998,2099714.1099999957,471689.5733652297,-0.1910165182520053,0.1910165182520053
CONSTITUENCY_AVG_SANCTION,2613,101904,497578.9090909091,419574.1414937759,1.1859141445643413,18.59141445643413,856847.6566532444,538806.660767446,2745372.5172413792,1233606.5573770492,4088041.640000001,2194029.850746269,449212.92462317593,0.17364764752164655,0.17364764752164655
MP_AVG_SANCTION_AMOUNT,2613,101904,497578.9090909091,419574.1414937759,1.1859141445643413,18.59141445643413,856847.6566532444,538806.660767446,2745372.5172413792,1233606.5573770492,4088041.640000001,2194029.850746269,449212.92462317593,0.17364764752164655,0.17364764752164655
RECOMMENDATION_TO_SANCTION_DAYS,2613,74690,63.0,79.0,0.7974683544303798,-20.253164556962027,106.91389207807119,106.77723925558978,375.0,309.0,507.8800000000001,456.0,96.19724150519788,-0.16632493561819506,0.16632493561819506
STATE_TOTAL_DISBURSED,2613,101904,904526762.1,1176280331.0,0.7689721049156947,-23.102789508430536,1554451701.4219558,1899090569.5026903,5287601009.47,5287601009.47,5287601009.47,5287601009.47,1638713245.3508453,-0.1658335097192786,0.1658335097192786
PAYMENT_AFTER_REPORTED_COMPLETION_DAYS,155,343,7.0,2.0,3.5,250.0,30.12258064516129,11.151603498542274,104.49999999999991,74.89999999999998,325.8200000000005,96.89999999999992,32.51001270045656,0.15379877104538262,0.15379877104538262
CONSTITUENCY_WORK_COUNT,2613,101904,221.0,278.0,0.7949640287769785,-20.503597122302157,240.60275545350171,367.3620073794944,482.0,730.0,628.0,2589.0,415.40641669472893,-0.13721502054188964,0.13721502054188964
MP_WORK_COUNT,2613,101904,221.0,278.0,0.7949640287769785,-20.503597122302157,240.60275545350171,367.3620073794944,482.0,730.0,628.0,2589.0,415.40641669472893,-0.13721502054188964,0.13721502054188964
CONSTITUENCY_TOTAL_DISBURSED,2613,101904,58553516.0,57494662.0,1.0184165618714307,1.8416561871430777,59758739.15901263,58095152.19307466,96258282.0,108417412.0,167644537.0,158365038.0,29754259.78707485,0.0355866355801586,0.0355866355801586
MP_TOTAL_DISBURSED,2613,101904,58553516.0,57494662.0,1.0184165618714307,1.8416561871430777,59758739.15901263,58095152.19307466,96258282.0,108417412.0,167644537.0,158365038.0,29754259.78707485,0.0355866355801586,0.0355866355801586
ACTUAL_MINUS_SANCTION,1303,32327,-440.0,0.0,,,-97571.63622409824,-1268.668213258267,0.0,0.0,0.0,0.0,13874.798959572961,-0.031712171202049784,0.031712171202049784
ACTUAL_TO_RECOMMENDED_RATIO,1297,32204,0.99937,1.0,0.99937,-0.06300000000000194,0.8822573496746623,0.9960729866785303,1.0,1.0,1.0,1.0,0.042804452068778434,-0.014718095187569086,0.014718095187569086
