STATE_NAME,TOTAL_WORKS,ML_ANOMALIES,MEDIAN_SANCTION,MEAN_SANCTION,MEDIAN_PAYMENT_COUNT,MEAN_PAYMENT_COUNT,MEDIAN_VENDOR_COUNT,MEAN_VENDOR_COUNT,MEDIAN_COMPLETENESS,MEDIAN_PEER_COUNT,ML_ANOMALY_RATE_PERCENT,INDIA_RATE_RATIO
Madhya Pradesh,7472,172,250000.0,420738.33708769106,1.0,1.535136242573243,1.0,1.0422044662978898,0.8181818181818181,1.0,2.3019271948608138,0.9207444493887014
Meghalaya,582,12,300000.0,402185.8864027539,2.0,1.6688453159041394,1.0,1.0021786492374727,0.8181818181818181,1.0,2.0618556701030926,0.8247185957602944
Uttar Pradesh,16859,339,221210.0,493070.1158484055,1.0,1.4883052527254708,1.0,1.033201189296333,0.8181818181818181,1.0,2.010795420843466,0.804295082282038
Kerala,4463,89,300000.0,548209.9328568229,1.0,1.121765601217656,1.0,1.099695585996956,0.5454545454545454,1.0,1.9941743222047952,0.7976468336543382
Andhra Pradesh,3709,71,497836.5,646565.0176697957,1.0,1.050877192982456,1.0,1.0046783625730995,0.5454545454545454,1.0,1.9142626044756001,0.7656830640335871
Himachal Pradesh,1735,32,200000.0,244806.01730103805,1.0,1.3932002956393201,1.0,1.0783444198078345,0.8181818181818181,1.0,1.8443804034582134,0.7377309859481136
Tamil Nadu,5868,106,550000.0,808311.4838022166,1.0,1.0513033832501386,1.0,1.0102606766500277,0.8181818181818181,1.0,1.8064076346284936,0.7225423143837209
Jharkhand,4402,76,300000.0,340303.69166098617,1.0,1.3129334965320278,1.0,1.0004079967360262,0.8181818181818181,1.0,1.7264879600181735,0.6905753621018731
Maharashtra,4861,72,1000000.0,966504.9858827186,1.0,1.0507246376811594,1.0,1.0036231884057971,0.5454545454545454,1.0,1.4811767126105742,0.5924536795710653
West Bengal,5741,83,377801.0,739303.6463057548,1.0,1.0423931623931624,1.0,1.0068376068376068,0.8181818181818181,1.0,1.4457411600766417,0.5782798653950645
Odisha,5800,80,300000.0,375922.6356268322,1.0,1.7285506543868152,1.0,1.6854095976732912,0.5454545454545454,1.0,1.3793103448275863,0.5517083019913694
Karnataka,4822,63,500000.0,599506.9726684749,1.0,1.447816091954023,1.0,1.024367816091954,0.5454545454545454,1.0,1.3065118208212358,0.5225897281927788
Telangana,5288,66,250000.0,360805.633010078,1.0,1.0249137600613263,1.0,1.0107320812571867,0.5454545454545454,1.0,1.248108925869894,0.49922924073916464
Bihar,5872,50,649100.0,748587.7081692071,1.0,1.0348162475822051,1.0,1.0011052777010223,0.8181818181818181,1.0,0.8514986376021799,0.34058967893711073
Gujarat,8544,38,291000.0,342695.91454396053,1.0,1.0230272395394553,1.0,1.015445099691098,0.5454545454545454,1.0,0.4447565543071161,0.1778975154478257
Goa,248,1,583030.0,1041417.4879032258,1.0,1.3205128205128205,1.0,1.1923076923076923,0.4545454545454546,4.0,0.4032258064516129,0.16128569312247693
Ladakh,55,0,800000.0,991236.3636363636,1.0,1.0,1.0,1.0,0.4545454545454546,1.0,0.0,0.0
Mizoram,271,0,250000.0,469720.4022140221,2.0,1.8654970760233918,1.0,1.0,0.8181818181818181,1.0,0.0,0.0
The Dadra And Nagar Haveli And Daman And Diu,64,0,2500000.0,4155511.475409836,,,,,0.4545454545454546,3.5,0.0,0.0
